[2017-04-18 21:09:13,067] Making new env: FrozenLake-v0
accuracy, i_max_iter, i_k
0.452, 10, 10
0.433, 10, 10
0.452, 10, 10
0.431, 10, 10
0.46, 10, 10
0.449, 10, 10
0.459, 10, 10
0.44, 10, 10
0.444, 10, 10
0.441, 10, 10
0.723, 10, 100
0.754, 10, 100
0.741, 10, 100
0.729, 10, 100
0.719, 10, 100
0.724, 10, 100
0.73, 10, 100
0.744, 10, 100
0.738, 10, 100
0.735, 10, 100
0.757, 10, 1000
0.743, 10, 1000
0.75, 10, 1000
0.742, 10, 1000
0.73, 10, 1000
0.748, 10, 1000
0.721, 10, 1000
0.741, 10, 1000
0.751, 10, 1000
0.763, 10, 1000
0.737, 10, 10000
0.751, 10, 10000
0.75, 10, 10000
0.745, 10, 10000
0.747, 10, 10000
0.738, 10, 10000
0.739, 10, 10000
0.754, 10, 10000
0.751, 10, 10000
0.739, 10, 10000
0.74, 10, 100000
0.766, 10, 100000
0.727, 10, 100000
0.729, 10, 100000
0.743, 10, 100000
0.753, 10, 100000
0.744, 10, 100000
0.758, 10, 100000
0.733, 10, 100000
0.751, 10, 100000
0.737, 10, 1000000
0.731, 10, 1000000
0.764, 10, 1000000
0.75, 10, 1000000
0.735, 10, 1000000
0.739, 10, 1000000
0.734, 10, 1000000
0.735, 10, 1000000
0.744, 10, 1000000
0.743, 10, 1000000
0.767, 10, 10000000
0.726, 10, 10000000
0.739, 10, 10000000
0.732, 10, 10000000
0.72, 10, 10000000
0.757, 10, 10000000
0.756, 10, 10000000
0.74, 10, 10000000
0.734, 10, 10000000
0.73, 10, 10000000
0.425, 10, 10
0.476, 10, 10
0.431, 10, 10
0.455, 10, 10
0.451, 10, 10
0.438, 10, 10
0.455, 10, 10
0.453, 10, 10
0.455, 10, 10
0.444, 10, 10
0.709, 10, 100
0.753, 10, 100
0.743, 10, 100
0.721, 10, 100
0.736, 10, 100
0.74, 10, 100
0.722, 10, 100
0.738, 10, 100
0.751, 10, 100
0.76, 10, 100
0.723, 10, 1000
0.763, 10, 1000
0.72, 10, 1000
0.765, 10, 1000
0.733, 10, 1000
0.713, 10, 1000
0.736, 10, 1000
0.72, 10, 1000
0.737, 10, 1000
0.729, 10, 1000
0.742, 10, 10000
0.737, 10, 10000
0.763, 10, 10000
0.739, 10, 10000
0.742, 10, 10000
0.749, 10, 10000
0.752, 10, 10000
0.732, 10, 10000
0.735, 10, 10000
0.758, 10, 10000
0.735, 10, 100000
0.724, 10, 100000
0.754, 10, 100000
0.754, 10, 100000
0.721, 10, 100000
0.758, 10, 100000
0.747, 10, 100000
0.737, 10, 100000
0.739, 10, 100000
0.761, 10, 100000
0.746, 10, 1000000
0.744, 10, 1000000
0.735, 10, 1000000
0.735, 10, 1000000
0.737, 10, 1000000
0.742, 10, 1000000
0.742, 10, 1000000
0.731, 10, 1000000
0.725, 10, 1000000
0.748, 10, 1000000
0.731, 10, 10000000
0.742, 10, 10000000
0.745, 10, 10000000
0.742, 10, 10000000
0.741, 10, 10000000
0.741, 10, 10000000
0.743, 10, 10000000
0.754, 10, 10000000
0.74, 10, 10000000
0.746, 10, 10000000
0.434, 10, 10
0.433, 10, 10
0.466, 10, 10
0.46, 10, 10
0.451, 10, 10
0.442, 10, 10
0.399, 10, 10
0.454, 10, 10
0.442, 10, 10
0.483, 10, 10
0.73, 10, 100
0.757, 10, 100
0.717, 10, 100
0.738, 10, 100
0.743, 10, 100
0.729, 10, 100
0.74, 10, 100
0.74, 10, 100
0.74, 10, 100
0.742, 10, 100
0.74, 10, 1000
0.746, 10, 1000
0.728, 10, 1000
0.736, 10, 1000
0.717, 10, 1000
0.731, 10, 1000
0.745, 10, 1000
0.736, 10, 1000
0.731, 10, 1000
0.766, 10, 1000
0.719, 10, 10000
0.729, 10, 10000
0.739, 10, 10000
0.715, 10, 10000
0.737, 10, 10000
0.747, 10, 10000
0.761, 10, 10000
0.724, 10, 10000
0.75, 10, 10000
0.73, 10, 10000
0.76, 10, 100000
0.741, 10, 100000
0.738, 10, 100000
0.75, 10, 100000
0.731, 10, 100000
0.724, 10, 100000
0.719, 10, 100000
0.739, 10, 100000
0.734, 10, 100000
0.718, 10, 100000
0.77, 10, 1000000
0.721, 10, 1000000
0.747, 10, 1000000
0.744, 10, 1000000
0.741, 10, 1000000
0.729, 10, 1000000
0.747, 10, 1000000
0.729, 10, 1000000
0.743, 10, 1000000
0.751, 10, 1000000
0.731, 10, 10000000
0.754, 10, 10000000
0.744, 10, 10000000
0.72, 10, 10000000
0.757, 10, 10000000
0.763, 10, 10000000
0.766, 10, 10000000
0.723, 10, 10000000
0.728, 10, 10000000
0.725, 10, 10000000
0.429, 10, 10
0.456, 10, 10
0.439, 10, 10
0.446, 10, 10
0.446, 10, 10
0.461, 10, 10
0.468, 10, 10
0.439, 10, 10
0.446, 10, 10
0.443, 10, 10
0.748, 10, 100
0.762, 10, 100
0.712, 10, 100
0.738, 10, 100
0.736, 10, 100
0.721, 10, 100
0.766, 10, 100
0.755, 10, 100
0.745, 10, 100
0.76, 10, 100
0.736, 10, 1000
0.706, 10, 1000
0.715, 10, 1000
0.74, 10, 1000
0.776, 10, 1000
0.752, 10, 1000
0.761, 10, 1000
0.763, 10, 1000
0.748, 10, 1000
0.735, 10, 1000
0.758, 10, 10000
0.734, 10, 10000
0.731, 10, 10000
0.756, 10, 10000
0.748, 10, 10000
0.727, 10, 10000
0.737, 10, 10000
0.735, 10, 10000
0.762, 10, 10000
0.748, 10, 10000
0.728, 10, 100000
0.735, 10, 100000
0.724, 10, 100000
0.756, 10, 100000
0.76, 10, 100000
0.71, 10, 100000
0.747, 10, 100000
0.734, 10, 100000
0.739, 10, 100000
0.763, 10, 100000
0.747, 10, 1000000
0.733, 10, 1000000
0.733, 10, 1000000
0.716, 10, 1000000
0.746, 10, 1000000
0.743, 10, 1000000
0.723, 10, 1000000
0.726, 10, 1000000
0.723, 10, 1000000
0.741, 10, 1000000
0.751, 10, 10000000
0.737, 10, 10000000
0.748, 10, 10000000
0.745, 10, 10000000
0.742, 10, 10000000
0.738, 10, 10000000
0.723, 10, 10000000
0.745, 10, 10000000
0.76, 10, 10000000
0.74, 10, 10000000
0.442, 10, 10
0.431, 10, 10
0.424, 10, 10
0.459, 10, 10
0.447, 10, 10
0.477, 10, 10
0.448, 10, 10
0.43, 10, 10
0.455, 10, 10
0.447, 10, 10
0.749, 10, 100
0.759, 10, 100
0.75, 10, 100
0.743, 10, 100
0.725, 10, 100
0.752, 10, 100
0.734, 10, 100
0.727, 10, 100
0.734, 10, 100
0.745, 10, 100
0.739, 10, 1000
0.728, 10, 1000
0.746, 10, 1000
0.747, 10, 1000
0.721, 10, 1000
0.75, 10, 1000
0.739, 10, 1000
0.746, 10, 1000
0.75, 10, 1000
0.756, 10, 1000
0.714, 10, 10000
0.733, 10, 10000
0.733, 10, 10000
0.758, 10, 10000
0.737, 10, 10000
0.745, 10, 10000
0.764, 10, 10000
0.761, 10, 10000
0.738, 10, 10000
0.759, 10, 10000
0.73, 10, 100000
0.735, 10, 100000
0.73, 10, 100000
0.748, 10, 100000
0.731, 10, 100000
0.736, 10, 100000
0.727, 10, 100000
0.74, 10, 100000
0.729, 10, 100000
0.735, 10, 100000
0.753, 10, 1000000
0.76, 10, 1000000
0.726, 10, 1000000
0.721, 10, 1000000
0.735, 10, 1000000
0.743, 10, 1000000
0.718, 10, 1000000
0.757, 10, 1000000
0.736, 10, 1000000
0.77, 10, 1000000
0.757, 10, 10000000
0.731, 10, 10000000
0.751, 10, 10000000
0.736, 10, 10000000
0.753, 10, 10000000
0.752, 10, 10000000
0.727, 10, 10000000
0.729, 10, 10000000
0.762, 10, 10000000
0.747, 10, 10000000
0.436, 10, 10
0.41, 10, 10
0.449, 10, 10
0.472, 10, 10
0.421, 10, 10
0.445, 10, 10
0.428, 10, 10
0.458, 10, 10
0.424, 10, 10
0.447, 10, 10
0.726, 10, 100
0.749, 10, 100
0.725, 10, 100
0.743, 10, 100
0.726, 10, 100
0.719, 10, 100
0.735, 10, 100
0.747, 10, 100
0.772, 10, 100
0.748, 10, 100
0.758, 10, 1000
0.74, 10, 1000
0.733, 10, 1000
0.721, 10, 1000
0.746, 10, 1000
0.733, 10, 1000
0.743, 10, 1000
0.711, 10, 1000
0.76, 10, 1000
0.761, 10, 1000
0.738, 10, 10000
0.759, 10, 10000
0.742, 10, 10000
0.741, 10, 10000
0.746, 10, 10000
0.726, 10, 10000
0.738, 10, 10000
0.742, 10, 10000
0.717, 10, 10000
0.744, 10, 10000
0.722, 10, 100000
0.753, 10, 100000
0.747, 10, 100000
0.743, 10, 100000
0.732, 10, 100000
0.731, 10, 100000
0.723, 10, 100000
0.743, 10, 100000
0.744, 10, 100000
0.747, 10, 100000
0.726, 10, 1000000
0.724, 10, 1000000
0.719, 10, 1000000
0.727, 10, 1000000
0.757, 10, 1000000
0.744, 10, 1000000
0.742, 10, 1000000
0.719, 10, 1000000
0.743, 10, 1000000
0.719, 10, 1000000
0.726, 10, 10000000
0.753, 10, 10000000
0.746, 10, 10000000
0.765, 10, 10000000
0.753, 10, 10000000
0.744, 10, 10000000
0.735, 10, 10000000
0.733, 10, 10000000
0.727, 10, 10000000
0.72, 10, 10000000
0.438, 10, 10
0.464, 10, 10
0.426, 10, 10
0.45, 10, 10
0.455, 10, 10
0.481, 10, 10
0.433, 10, 10
0.443, 10, 10
0.42, 10, 10
0.447, 10, 10
0.747, 10, 100
0.747, 10, 100
0.712, 10, 100
0.742, 10, 100
0.74, 10, 100
0.735, 10, 100
0.751, 10, 100
0.75, 10, 100
0.721, 10, 100
0.752, 10, 100
0.748, 10, 1000
0.73, 10, 1000
0.714, 10, 1000
0.755, 10, 1000
0.735, 10, 1000
0.733, 10, 1000
0.727, 10, 1000
0.73, 10, 1000
0.765, 10, 1000
0.765, 10, 1000
0.72, 10, 10000
0.732, 10, 10000
0.705, 10, 10000
0.74, 10, 10000
0.739, 10, 10000
0.732, 10, 10000
0.72, 10, 10000
0.743, 10, 10000
0.751, 10, 10000
0.723, 10, 10000
0.76, 10, 100000
0.72, 10, 100000
0.737, 10, 100000
0.745, 10, 100000
0.761, 10, 100000
0.741, 10, 100000
0.729, 10, 100000
0.745, 10, 100000
0.748, 10, 100000
0.737, 10, 100000
0.742, 10, 1000000
0.719, 10, 1000000
0.731, 10, 1000000
0.744, 10, 1000000
0.729, 10, 1000000
0.744, 10, 1000000
0.727, 10, 1000000
0.752, 10, 1000000
0.737, 10, 1000000
0.746, 10, 1000000
0.751, 10, 10000000
0.756, 10, 10000000
0.726, 10, 10000000
0.77, 10, 10000000
0.724, 10, 10000000
0.72, 10, 10000000
0.727, 10, 10000000
0.742, 10, 10000000
0.751, 10, 10000000
0.753, 10, 10000000
0.425, 10, 10
0.462, 10, 10
0.443, 10, 10
0.435, 10, 10
0.428, 10, 10
0.42, 10, 10
0.442, 10, 10
0.441, 10, 10
0.42, 10, 10
0.454, 10, 10
0.775, 10, 100
0.739, 10, 100
0.76, 10, 100
0.745, 10, 100
0.731, 10, 100
0.723, 10, 100
0.735, 10, 100
0.766, 10, 100
0.734, 10, 100
0.74, 10, 100
0.754, 10, 1000
0.732, 10, 1000
0.711, 10, 1000
0.724, 10, 1000
0.767, 10, 1000
0.718, 10, 1000
0.741, 10, 1000
0.729, 10, 1000
0.747, 10, 1000
0.716, 10, 1000
0.763, 10, 10000
0.757, 10, 10000
0.727, 10, 10000
0.751, 10, 10000
0.745, 10, 10000
0.746, 10, 10000
0.746, 10, 10000
0.74, 10, 10000
0.743, 10, 10000
0.694, 10, 10000
0.728, 10, 100000
0.757, 10, 100000
0.755, 10, 100000
0.761, 10, 100000
0.742, 10, 100000
0.727, 10, 100000
0.742, 10, 100000
0.764, 10, 100000
0.755, 10, 100000
0.732, 10, 100000
0.743, 10, 1000000
0.77, 10, 1000000
0.739, 10, 1000000
0.713, 10, 1000000
0.729, 10, 1000000
0.728, 10, 1000000
0.736, 10, 1000000
0.724, 10, 1000000
0.718, 10, 1000000
0.751, 10, 1000000
0.735, 10, 10000000
0.744, 10, 10000000
0.729, 10, 10000000
0.739, 10, 10000000
0.763, 10, 10000000
0.724, 10, 10000000
0.747, 10, 10000000
0.758, 10, 10000000
0.735, 10, 10000000
0.718, 10, 10000000
0.453, 10, 10
0.436, 10, 10
0.458, 10, 10
0.483, 10, 10
0.453, 10, 10
0.47, 10, 10
0.44, 10, 10
0.465, 10, 10
0.456, 10, 10
0.423, 10, 10
0.739, 10, 100
0.723, 10, 100
0.734, 10, 100
0.734, 10, 100
0.742, 10, 100
0.752, 10, 100
0.752, 10, 100
0.721, 10, 100
0.747, 10, 100
0.746, 10, 100
0.711, 10, 1000
0.715, 10, 1000
0.723, 10, 1000
0.753, 10, 1000
0.762, 10, 1000
0.753, 10, 1000
0.712, 10, 1000
0.723, 10, 1000
0.73, 10, 1000
0.734, 10, 1000
0.741, 10, 10000
0.72, 10, 10000
0.744, 10, 10000
0.745, 10, 10000
0.725, 10, 10000
0.744, 10, 10000
0.744, 10, 10000
0.728, 10, 10000
0.716, 10, 10000
0.755, 10, 10000
0.743, 10, 100000
0.733, 10, 100000
0.746, 10, 100000
0.725, 10, 100000
0.734, 10, 100000
0.719, 10, 100000
0.734, 10, 100000
0.766, 10, 100000
0.73, 10, 100000
0.744, 10, 100000
0.736, 10, 1000000
0.742, 10, 1000000
0.738, 10, 1000000
0.745, 10, 1000000
0.747, 10, 1000000
0.735, 10, 1000000
0.726, 10, 1000000
0.721, 10, 1000000
0.731, 10, 1000000
0.756, 10, 1000000
0.756, 10, 10000000
0.739, 10, 10000000
0.729, 10, 10000000
0.726, 10, 10000000
0.73, 10, 10000000
0.722, 10, 10000000
0.754, 10, 10000000
0.722, 10, 10000000
0.759, 10, 10000000
0.732, 10, 10000000
0.42, 10, 10
0.434, 10, 10
0.482, 10, 10
0.437, 10, 10
0.444, 10, 10
0.424, 10, 10
0.445, 10, 10
0.447, 10, 10
0.451, 10, 10
0.453, 10, 10
0.753, 10, 100
0.739, 10, 100
0.737, 10, 100
0.761, 10, 100
0.743, 10, 100
0.75, 10, 100
0.748, 10, 100
0.735, 10, 100
0.728, 10, 100
0.746, 10, 100
0.765, 10, 1000
0.759, 10, 1000
0.756, 10, 1000
0.749, 10, 1000
0.725, 10, 1000
0.726, 10, 1000
0.745, 10, 1000
0.755, 10, 1000
0.756, 10, 1000
0.724, 10, 1000
0.742, 10, 10000
0.713, 10, 10000
0.712, 10, 10000
0.736, 10, 10000
0.75, 10, 10000
0.737, 10, 10000
0.743, 10, 10000
0.765, 10, 10000
0.732, 10, 10000
0.735, 10, 10000
0.721, 10, 100000
0.725, 10, 100000
0.74, 10, 100000
0.737, 10, 100000
0.735, 10, 100000
0.757, 10, 100000
0.734, 10, 100000
0.746, 10, 100000
0.77, 10, 100000
0.754, 10, 100000
0.743, 10, 1000000
0.741, 10, 1000000
0.732, 10, 1000000
0.759, 10, 1000000
0.73, 10, 1000000
0.767, 10, 1000000
0.739, 10, 1000000
0.709, 10, 1000000
0.734, 10, 1000000
0.723, 10, 1000000
0.729, 10, 10000000
0.744, 10, 10000000
0.727, 10, 10000000
0.729, 10, 10000000
0.773, 10, 10000000
0.76, 10, 10000000
0.756, 10, 10000000
0.722, 10, 10000000
0.763, 10, 10000000
0.751, 10, 10000000
0.428, 100, 10
0.465, 100, 10
0.436, 100, 10
0.479, 100, 10
0.434, 100, 10
0.436, 100, 10
0.433, 100, 10
0.468, 100, 10
0.451, 100, 10
0.439, 100, 10
0.75, 100, 100
0.747, 100, 100
0.744, 100, 100
0.742, 100, 100
0.757, 100, 100
0.73, 100, 100
0.735, 100, 100
0.736, 100, 100
0.748, 100, 100
0.743, 100, 100
0.721, 100, 1000
0.763, 100, 1000
0.751, 100, 1000
0.717, 100, 1000
0.749, 100, 1000
0.73, 100, 1000
0.725, 100, 1000
0.729, 100, 1000
0.751, 100, 1000
0.757, 100, 1000
0.721, 100, 10000
0.732, 100, 10000
0.757, 100, 10000
0.758, 100, 10000
0.743, 100, 10000
0.731, 100, 10000
0.749, 100, 10000
0.721, 100, 10000
0.731, 100, 10000
0.742, 100, 10000
0.738, 100, 100000
0.772, 100, 100000
0.734, 100, 100000
0.749, 100, 100000
0.763, 100, 100000
0.734, 100, 100000
0.73, 100, 100000
0.759, 100, 100000
0.743, 100, 100000
0.735, 100, 100000
0.745, 100, 1000000
0.753, 100, 1000000
0.736, 100, 1000000
0.735, 100, 1000000
0.756, 100, 1000000
0.737, 100, 1000000
0.724, 100, 1000000
0.747, 100, 1000000
0.738, 100, 1000000
0.712, 100, 1000000
0.748, 100, 10000000
0.76, 100, 10000000
0.741, 100, 10000000
0.736, 100, 10000000
0.748, 100, 10000000
0.76, 100, 10000000
0.745, 100, 10000000
0.716, 100, 10000000
0.737, 100, 10000000
0.729, 100, 10000000
0.44, 100, 10
0.468, 100, 10
0.447, 100, 10
0.462, 100, 10
0.465, 100, 10
0.432, 100, 10
0.455, 100, 10
0.458, 100, 10
0.46, 100, 10
0.452, 100, 10
0.733, 100, 100
0.763, 100, 100
0.772, 100, 100
0.742, 100, 100
0.734, 100, 100
0.749, 100, 100
0.728, 100, 100
0.714, 100, 100
0.761, 100, 100
0.75, 100, 100
0.76, 100, 1000
0.744, 100, 1000
0.727, 100, 1000
0.751, 100, 1000
0.728, 100, 1000
0.763, 100, 1000
0.723, 100, 1000
0.737, 100, 1000
0.747, 100, 1000
0.74, 100, 1000
0.716, 100, 10000
0.738, 100, 10000
0.754, 100, 10000
0.732, 100, 10000
0.764, 100, 10000
0.719, 100, 10000
0.73, 100, 10000
0.72, 100, 10000
0.729, 100, 10000
0.727, 100, 10000
0.724, 100, 100000
0.722, 100, 100000
0.756, 100, 100000
0.733, 100, 100000
0.737, 100, 100000
0.736, 100, 100000
0.74, 100, 100000
0.739, 100, 100000
0.745, 100, 100000
0.735, 100, 100000
0.754, 100, 1000000
0.765, 100, 1000000
0.775, 100, 1000000
0.752, 100, 1000000
0.737, 100, 1000000
0.743, 100, 1000000
0.744, 100, 1000000
0.752, 100, 1000000
0.726, 100, 1000000
0.742, 100, 1000000
0.743, 100, 10000000
0.752, 100, 10000000
0.744, 100, 10000000
0.709, 100, 10000000
0.754, 100, 10000000
0.728, 100, 10000000
0.74, 100, 10000000
0.737, 100, 10000000
0.736, 100, 10000000
0.757, 100, 10000000
0.438, 100, 10
0.434, 100, 10
0.464, 100, 10
0.447, 100, 10
0.427, 100, 10
0.443, 100, 10
0.442, 100, 10
0.449, 100, 10
0.438, 100, 10
0.445, 100, 10
0.743, 100, 100
0.762, 100, 100
0.719, 100, 100
0.747, 100, 100
0.743, 100, 100
0.745, 100, 100
0.743, 100, 100
0.741, 100, 100
0.734, 100, 100
0.758, 100, 100
0.758, 100, 1000
0.728, 100, 1000
0.736, 100, 1000
0.748, 100, 1000
0.734, 100, 1000
0.772, 100, 1000
0.707, 100, 1000
0.745, 100, 1000
0.766, 100, 1000
0.739, 100, 1000
0.753, 100, 10000
0.742, 100, 10000
0.737, 100, 10000
0.723, 100, 10000
0.754, 100, 10000
0.748, 100, 10000
0.739, 100, 10000
0.748, 100, 10000
0.734, 100, 10000
0.732, 100, 10000
0.726, 100, 100000
0.745, 100, 100000
0.739, 100, 100000
0.754, 100, 100000
0.736, 100, 100000
0.761, 100, 100000
0.747, 100, 100000
0.746, 100, 100000
0.725, 100, 100000
0.731, 100, 100000
0.761, 100, 1000000
0.734, 100, 1000000
0.738, 100, 1000000
0.744, 100, 1000000
0.745, 100, 1000000
0.74, 100, 1000000
0.744, 100, 1000000
0.742, 100, 1000000
0.741, 100, 1000000
0.76, 100, 1000000
0.752, 100, 10000000
0.728, 100, 10000000
0.751, 100, 10000000
0.746, 100, 10000000
0.747, 100, 10000000
0.724, 100, 10000000
0.736, 100, 10000000
0.729, 100, 10000000
0.733, 100, 10000000
0.739, 100, 10000000
0.45, 100, 10
0.461, 100, 10
0.445, 100, 10
0.447, 100, 10
0.44, 100, 10
0.48, 100, 10
0.459, 100, 10
0.467, 100, 10
0.467, 100, 10
0.473, 100, 10
0.739, 100, 100
0.718, 100, 100
0.739, 100, 100
0.729, 100, 100
0.757, 100, 100
0.738, 100, 100
0.728, 100, 100
0.733, 100, 100
0.736, 100, 100
0.731, 100, 100
0.751, 100, 1000
0.737, 100, 1000
0.743, 100, 1000
0.731, 100, 1000
0.736, 100, 1000
0.73, 100, 1000
0.723, 100, 1000
0.739, 100, 1000
0.732, 100, 1000
0.755, 100, 1000
0.747, 100, 10000
0.754, 100, 10000
0.731, 100, 10000
0.743, 100, 10000
0.721, 100, 10000
0.73, 100, 10000
0.764, 100, 10000
0.732, 100, 10000
0.767, 100, 10000
0.77, 100, 10000
0.721, 100, 100000
0.737, 100, 100000
0.718, 100, 100000
0.747, 100, 100000
0.73, 100, 100000
0.752, 100, 100000
0.712, 100, 100000
0.737, 100, 100000
0.729, 100, 100000
0.741, 100, 100000
0.723, 100, 1000000
0.744, 100, 1000000
0.742, 100, 1000000
0.758, 100, 1000000
0.745, 100, 1000000
0.745, 100, 1000000
0.755, 100, 1000000
0.742, 100, 1000000
0.761, 100, 1000000
0.728, 100, 1000000
0.756, 100, 10000000
0.725, 100, 10000000
0.731, 100, 10000000
0.739, 100, 10000000
0.748, 100, 10000000
0.755, 100, 10000000
0.73, 100, 10000000
0.745, 100, 10000000
0.733, 100, 10000000
0.722, 100, 10000000
0.417, 100, 10
0.444, 100, 10
0.434, 100, 10
0.448, 100, 10
0.444, 100, 10
0.405, 100, 10
0.429, 100, 10
0.455, 100, 10
0.432, 100, 10
0.435, 100, 10
0.749, 100, 100
0.771, 100, 100
0.734, 100, 100
0.754, 100, 100
0.769, 100, 100
0.729, 100, 100
0.746, 100, 100
0.76, 100, 100
0.723, 100, 100
0.729, 100, 100
0.739, 100, 1000
0.759, 100, 1000
0.746, 100, 1000
0.729, 100, 1000
0.737, 100, 1000
0.732, 100, 1000
0.753, 100, 1000
0.741, 100, 1000
0.737, 100, 1000
0.728, 100, 1000
0.768, 100, 10000
0.728, 100, 10000
0.747, 100, 10000
0.727, 100, 10000
0.726, 100, 10000
0.733, 100, 10000
0.758, 100, 10000
0.734, 100, 10000
0.739, 100, 10000
0.719, 100, 10000
0.717, 100, 100000
0.742, 100, 100000
0.705, 100, 100000
0.745, 100, 100000
0.726, 100, 100000
0.714, 100, 100000
