num, accuracy, iterations
0, 0.017, 1000
1, 0.025, 1000
2, 0.093, 1000
3, 0.29, 1000
4, 0.181, 1000
5, 0.133, 1000
6, 0.245, 1000
7, 0.24, 1000
8, 0.416, 1000
9, 0.584, 1000
10, 0.237, 1000
11, 0.113, 1000
12, 0.231, 1000
13, 0.092, 1000
14, 0.476, 1000
15, 0.182, 1000
16, 0.381, 1000
17, 0.589, 1000
18, 0.682, 1000
19, 0.235, 1000
20, 0.186, 1000
21, 0.135, 1000
22, 0.11, 1000
23, 0.086, 1000
24, 0.713, 1000
25, 0.123, 1000
26, 0.49, 1000
27, 0.309, 1000
28, 0.676, 1000
29, 0.44, 1000
30, 0.731, 1000
31, 0.217, 1000
32, 0.649, 1000
33, 0.279, 1000
34, 0.246, 1000
35, 0.355, 1000
36, 0.654, 1000
37, 0.614, 1000
38, 0.746, 1000
39, 0.719, 1000
40, 0.411, 1000
41, 0.029, 1000
42, 0.513, 1000
43, 0.337, 1000
44, 0.154, 1000
45, 0.385, 1000
46, 0.71, 1000
47, 0.001, 1000
48, 0.599, 1000
49, 0.388, 1000
50, 0.573, 1000
51, 0.543, 1000
52, 0.601, 1000
53, 0.036, 1000
54, 0.406, 1000
55, 0.111, 1000
56, 0.529, 1000
57, 0.364, 1000
58, 0.521, 1000
59, 0.705, 1000
60, 0.495, 1000
61, 0.029, 1000
62, 0.739, 1000
63, 0.366, 1000
64, 0.367, 1000
65, 0.528, 1000
66, 0.131, 1000
67, 0.567, 1000
68, 0.549, 1000
69, 0.63, 1000
70, 0.397, 1000
71, 0.534, 1000
72, 0.526, 1000
73, 0.593, 1000
74, 0.73, 1000
75, 0.725, 1000
76, 0.063, 1000
77, 0.237, 1000
78, 0.08, 1000
79, 0.514, 1000
80, 0.424, 1000
81, 0.297, 1000
82, 0.533, 1000
83, 0.325, 1000
84, 0.651, 1000
85, 0.643, 1000
86, 0.541, 1000
87, 0.622, 1000
88, 0.427, 1000
89, 0.0, 1000
90, 0.649, 1000
91, 0.357, 1000
92, 0.451, 1000
93, 0.0, 1000
94, 0.746, 1000
95, 0.539, 1000
96, 0.063, 1000
97, 0.431, 1000
98, 0.36, 1000
99, 0.487, 1000
100, 0.672, 10000
101, 0.586, 10000
102, 0.736, 10000
103, 0.05, 10000
104, 0.547, 10000
105, 0.766, 10000
106, 0.574, 10000
107, 0.473, 10000
108, 0.746, 10000
109, 0.491, 10000
110, 0.508, 10000
111, 0.541, 10000
112, 0.525, 10000
113, 0.718, 10000
114, 0.472, 10000
115, 0.538, 10000
116, 0.372, 10000
117, 0.544, 10000
118, 0.15, 10000
119, 0.505, 10000
120, 0.574, 10000
121, 0.227, 10000
122, 0.543, 10000
123, 0.556, 10000
124, 0.447, 10000
125, 0.571, 10000
126, 0.497, 10000
127, 0.298, 10000
128, 0.625, 10000
129, 0.417, 10000
130, 0.425, 10000
131, 0.454, 10000
132, 0.52, 10000
133, 0.342, 10000
134, 0.515, 10000
135, 0.507, 10000
136, 0.572, 10000
137, 0.556, 10000
138, 0.524, 10000
139, 0.606, 10000
140, 0.432, 10000
141, 0.554, 10000
142, 0.534, 10000
143, 0.595, 10000
144, 0.526, 10000
145, 0.749, 10000
146, 0.529, 10000
147, 0.537, 10000
148, 0.723, 10000
149, 0.68, 10000
150, 0.524, 10000
151, 0.528, 10000
152, 0.541, 10000
153, 0.396, 10000
154, 0.605, 10000
155, 0.534, 10000
156, 0.72, 10000
157, 0.735, 10000
158, 0.581, 10000
159, 0.57, 10000
160, 0.504, 10000
161, 0.577, 10000
162, 0.562, 10000
163, 0.569, 10000
164, 0.544, 10000
165, 0.759, 10000
166, 0.705, 10000
167, 0.469, 10000
168, 0.314, 10000
169, 0.305, 10000
170, 0.723, 10000
171, 0.745, 10000
172, 0.532, 10000
173, 0.306, 10000
174, 0.504, 10000
175, 0.521, 10000
176, 0.548, 10000
177, 0.551, 10000
178, 0.698, 10000
179, 0.541, 10000
180, 0.723, 10000
181, 0.413, 10000
182, 0.751, 10000
183, 0.377, 10000
184, 0.71, 10000
185, 0.754, 10000
186, 0.594, 10000
187, 0.265, 10000
188, 0.421, 10000
189, 0.749, 10000
190, 0.399, 10000
191, 0.493, 10000
192, 0.51, 10000
193, 0.735, 10000
194, 0.25, 10000
195, 0.55, 10000
196, 0.426, 10000
197, 0.474, 10000
198, 0.433, 10000
199, 0.466, 10000
200, 0.511, 100000
201, 0.529, 100000
202, 0.543, 100000
203, 0.108, 100000
204, 0.517, 100000
205, 0.754, 100000
206, 0.561, 100000
207, 0.75, 100000
208, 0.451, 100000
209, 0.748, 100000
210, 0.532, 100000
211, 0.533, 100000
212, 0.745, 100000
213, 0.76, 100000
214, 0.451, 100000
215, 0.539, 100000
216, 0.75, 100000
217, 0.426, 100000
218, 0.561, 100000
219, 0.712, 100000
220, 0.53, 100000
221, 0.747, 100000
222, 0.522, 100000
223, 0.545, 100000
224, 0.555, 100000
225, 0.404, 100000
226, 0.687, 100000
227, 0.388, 100000
228, 0.655, 100000
229, 0.045, 100000
230, 0.443, 100000
231, 0.423, 100000
232, 0.534, 100000
233, 0.403, 100000
234, 0.542, 100000
235, 0.726, 100000
236, 0.527, 100000
237, 0.538, 100000
238, 0.561, 100000
239, 0.0, 100000
240, 0.494, 100000
241, 0.555, 100000
242, 0.556, 100000
243, 0.734, 100000
244, 0.523, 100000
245, 0.537, 100000
246, 0.542, 100000
247, 0.672, 100000
248, 0.547, 100000
249, 0.536, 100000
250, 0.537, 100000
251, 0.497, 100000
252, 0.731, 100000
253, 0.559, 100000
254, 0.576, 100000
255, 0.557, 100000
256, 0.539, 100000
257, 0.481, 100000
258, 0.424, 100000
259, 0.532, 100000
260, 0.549, 100000
261, 0.593, 100000
262, 0.536, 100000
263, 0.463, 100000
264, 0.525, 100000
265, 0.493, 100000
266, 0.372, 100000
267, 0.0, 100000
268, 0.729, 100000
269, 0.525, 100000
270, 0.64, 100000
271, 0.539, 100000
272, 0.513, 100000
273, 0.544, 100000
274, 0.692, 100000
275, 0.523, 100000
276, 0.535, 100000
277, 0.753, 100000
278, 0.546, 100000
279, 0.57, 100000
280, 0.549, 100000
281, 0.394, 100000
282, 0.529, 100000
283, 0.501, 100000
284, 0.484, 100000
285, 0.373, 100000
286, 0.594, 100000
287, 0.447, 100000
288, 0.537, 100000
289, 0.528, 100000
290, 0.761, 100000
291, 0.744, 100000
292, 0.546, 100000
293, 0.508, 100000
294, 0.418, 100000
295, 0.397, 100000
296, 0.698, 100000
297, 0.379, 100000
298, 0.553, 100000
299, 0.76, 100000
300, 0.564, 1000000
301, 0.489, 1000000
302, 0.585, 1000000
303, 0.452, 1000000
304, 0.522, 1000000
305, 0.522, 1000000
306, 0.538, 1000000
307, 0.477, 1000000
308, 0.561, 1000000
309, 0.553, 1000000
310, 0.528, 1000000
311, 0.537, 1000000
312, 0.537, 1000000
313, 0.733, 1000000
314, 0.748, 1000000
315, 0.49, 1000000
316, 0.717, 1000000
317, 0.55, 1000000
318, 0.0, 1000000
319, 0.54, 1000000
320, 0.589, 1000000
321, 0.756, 1000000
322, 0.738, 1000000
323, 0.758, 1000000
324, 0.55, 1000000
325, 0.744, 1000000
326, 0.485, 1000000
327, 0.465, 1000000
328, 0.515, 1000000
329, 0.725, 1000000
330, 0.541, 1000000
331, 0.547, 1000000
332, 0.542, 1000000
333, 0.758, 1000000
334, 0.432, 1000000
335, 0.512, 1000000
336, 0.514, 1000000
337, 0.475, 1000000
338, 0.713, 1000000
339, 0.71, 1000000
340, 0.436, 1000000
341, 0.543, 1000000
342, 0.547, 1000000
343, 0.537, 1000000
344, 0.507, 1000000
345, 0.543, 1000000
346, 0.723, 1000000
347, 0.534, 1000000
348, 0.502, 1000000
349, 0.759, 1000000
